,ID1,Topic1,ID2,Topic2,Count
1345,136207,backend,156328,etan,6.0
1346,136207,backend,156345,justin mcdonald,57.0
1348,136207,backend,156351,rowell,42.0
1349,136207,backend,156352,paulus,35.0
1356,136207,backend,156611,tcp connection,8.0
1360,136207,backend,158334,Bryan Starbuck,17.0
1361,136207,backend,158780,firewall,10.0
1362,136207,backend,158792,starbuck,107.0
1367,136213,username,136213,username,20.0
1369,136213,username,136226,linkedin,6.0
1370,136213,username,136257,devkota,8.0
1372,136213,username,136276,uploaded,7.0
1375,136213,username,136389,2016,38.0
1377,136213,username,136566,shapiro,16.0
1378,136213,username,136821,pokhrel,11.0
1380,136213,username,137553,april 1st,30.0
1381,136213,username,138498,sushil,6.0
1382,136213,username,140451,gagan,15.0
1389,136213,username,141774,2nd half,17.0
1390,136213,username,142874,crm,20.0
1394,136213,username,145452,eng,36.0
1395,136213,username,146075,wiki,12.0
1398,136213,username,153316,sftp,8.0
1399,136213,username,154214,auth,6.0
1400,136213,username,156226,2017,30.0
1401,136213,username,156235,cto,23.0
1403,136213,username,156242,shrestha,12.0
1404,136213,username,156243,don’t,8.0
1405,136213,username,156296,incontact,15.0
1406,136213,username,156328,etan,30.0
1409,136213,username,156352,paulus,7.0
1411,136213,username,156439,dialer,26.0
1415,136213,username,158334,Bryan Starbuck,16.0
1418,136213,username,158792,starbuck,58.0
1419,136217,endpoint,136114,adding,6.0
1421,136217,endpoint,136217,endpoint,8.0
1425,136217,endpoint,136389,2016,74.0
1432,136217,endpoint,137085,sean,10.0
1440,136217,endpoint,140451,gagan,8.0
1445,136217,endpoint,141774,2nd half,20.0
1449,136217,endpoint,145452,eng,27.0
1453,136217,endpoint,156235,cto,11.0
1455,136217,endpoint,156242,shrestha,17.0
1456,136217,endpoint,156243,don’t,6.0
1458,136217,endpoint,156249,feb,17.0
1459,136217,endpoint,156266,1st,13.0
1460,136217,endpoint,156269,json,8.0
1463,136217,endpoint,156830,dec,16.0
1466,136217,endpoint,158792,starbuck,40.0
1468,136218,feedback,136114,adding,8.0
1470,136218,feedback,136142,facebook,6.0
1474,136218,feedback,136173,skype,6.0
1479,136218,feedback,136218,feedback,99.0
1480,136218,feedback,136226,linkedin,6.0
1484,136218,feedback,136241,blog,14.0
1485,136218,feedback,136257,devkota,55.0
1487,136218,feedback,136275,saroj,40.0
1488,136218,feedback,136276,uploaded,7.0
1491,136218,feedback,136304,maharjan,19.0
1492,136218,feedback,136324,deployed,7.0
1495,136218,feedback,136352,i'd,7.0
1496,136218,feedback,136354,unsubscribe,17.0
1497,136218,feedback,136389,2016,396.0
1498,136218,feedback,136394,we'd,17.0
1503,136218,feedback,136566,shapiro,113.0
1509,136218,feedback,136821,pokhrel,11.0
1510,136218,feedback,136879,pokharel,19.0
1514,136218,feedback,137098,anymore,7.0
1519,136218,feedback,137369,350,10.0
1522,136218,feedback,137862,may 1st,42.0
1524,136218,feedback,138336,jul 28,8.0
1528,136218,feedback,138617,303,10.0
1530,136218,feedback,138900,14th,6.0
1536,136218,feedback,139543,san francisco,8.0
1537,136218,feedback,139786,jul 27,6.0
1538,136218,feedback,140374,goldberg,17.0
1539,136218,feedback,140446,nov 22,51.0
1540,136218,feedback,140447,november 22,218.0
1541,136218,feedback,140451,gagan,8.0
1543,136218,feedback,140674,535,6.0
1544,136218,feedback,141181,functionality,9.0
1545,136218,feedback,141183,ios,43.0
1548,136218,feedback,141774,2nd half,106.0
1554,136218,feedback,142584,popup,6.0
1557,136218,feedback,142874,crm,29.0
